date,Subiza,Infanta_Leonor
04/01/17,0,0
04/02/17,0,1
04/03/17,4,5
04/04/17,9,3
04/05/17,6,1
04/06/17,6,0
04/07/17,6,2
04/08/17,7,1
04/09/17,5,0
04/10/17,2,4
04/11/17,8,3
04/12/17,26,0
04/13/17,23,0
04/14/17,17,0
04/15/17,2,0
04/16/17,4,0
04/17/17,20,0
04/18/17,5,0
04/19/17,11,13
04/20/17,1,5
04/21/17,0,4
04/22/17,0,2
04/23/17,6,5
04/24/17,21,11
04/25/17,23,14
04/26/17,17,17
04/27/17,6,13
04/28/17,0,5
04/29/17,0,1
04/30/17,4,6
05/01/17,1,4
05/02/17,7,15
05/03/17,28,23
05/04/17,0,18
05/05/17,6,30
05/06/17,16,21
05/07/17,35,9
05/08/17,31,46
05/09/17,214,77
05/10/17,28,12
05/11/17,4,5
05/12/17,2,7
05/13/17,37,73
05/14/17,25,54
05/15/17,29,28
05/16/17,45,81
05/17/17,26,47
05/18/17,7,16
05/19/17,7,15
05/20/17,26,48
05/21/17,36,54
05/22/17,56,65
05/23/17,31,56
05/24/17,52,50
05/25/17,38,38
05/26/17,152,117
05/27/17,109,83
05/28/17,71,64
05/29/17,76,45
05/30/17,44,29
05/31/17,16,18
04/01/18,1,8
04/02/18,4,3
04/03/18,4,2
04/04/18,5,0
04/05/18,7,3
04/06/18,4,2
04/07/18,0,0
04/08/18,4,1
04/09/18,1,0
04/10/18,1,0
04/11/18,4,0
04/12/18,3,0
04/13/18,3,0
04/14/18,0,0
04/15/18,6,2
04/16/18,7,1
04/17/18,4,2
04/18/18,8,3
04/19/18,2,0
04/20/18,2,2
04/21/18,2,0
04/22/18,1,4
04/23/18,1,6
04/24/18,1,0
04/25/18,4,1
04/26/18,10,8
04/27/18,10,5
04/28/18,6,10
04/29/18,1,4
04/30/18,2,1
05/01/18,4,2
05/02/18,9,1
05/03/18,9,0
05/04/18,5,5
05/05/18,4,6
05/06/18,2,2
05/07/18,2,0
05/08/18,4,1
05/09/18,13,2
05/10/18,20,12
05/11/18,3,11
05/12/18,16,34
05/13/18,74,7
05/14/18,12,6
05/15/18,17,8
05/16/18,20,19
05/17/18,15,10
05/18/18,7,23
05/19/18,13,22
05/20/18,15,16
05/21/18,20,32
05/22/18,53,40
05/23/18,40,47
05/24/18,17,16
05/25/18,8,22
05/26/18,27,28
05/27/18,61,41
05/28/18,8,17
05/29/18,14,23
05/30/18,33,54
05/31/18,54,22
04/01/19,1,3
04/02/19,1,4
04/03/19,2,0
04/04/19,0,0
04/05/19,1,0
04/06/19,0,2
04/07/19,0,1
04/08/19,2,0
04/09/19,2,0
04/10/19,0,2
04/11/19,1,2
04/12/19,2,1
04/13/19,2,3
04/14/19,6,21
04/15/19,3,2
04/16/19,12,4
04/17/19,3,1
04/18/19,0,0
04/19/19,0,0
04/20/19,3,0
04/21/19,4,0
04/22/19,6,3
04/23/19,1,0
04/24/19,0,0
04/25/19,0,1
04/26/19,0,0
04/27/19,2,2
04/28/19,2,11
04/29/19,5,6
04/30/19,5,5
05/01/19,6,5
05/02/19,2,3
05/03/19,2,4
05/04/19,5,11
05/05/19,9,34
05/06/19,98,29
05/07/19,54,17
05/08/19,25,23
05/09/19,34,36
05/10/19,43,22
05/11/19,29,9
05/12/19,30,14
05/13/19,21,31
05/14/19,46,23
05/15/19,41,29
05/16/19,97,40
05/17/19,12,14
05/18/19,9,18
05/19/19,7,21
05/20/19,80,76
05/21/19,85,64
05/22/19,89,55
05/23/19,120,57
05/24/19,46,113
05/25/19,25,28
05/26/19,25,16
05/27/19,44,20
05/28/19,28,39
05/29/19,23,46
05/30/19,29,15
05/31/19,27,31
04/01/20,0,0
04/02/20,1,1
04/03/20,1,2
04/04/20,0,3
04/05/20,0,4
04/06/20,1,5
04/07/20,0,6
04/08/20,0,7
04/09/20,0,8
04/10/20,0,9
04/11/20,4,10
04/12/20,5,11
04/13/20,0,12
04/14/20,1,13
04/15/20,0,14
04/16/20,0,15
04/17/20,1,16
04/18/20,0,17
04/19/20,2,18
04/20/20,2,19
04/21/20,5,20
04/22/20,2,3
04/23/20,5,7
04/24/20,3,6
04/25/20,8,1
04/26/20,7,5
04/27/20,10,4
04/28/20,9,1
04/29/20,6,2
04/30/20,5,7
05/01/20,16,6
05/02/20,31,12
05/03/20,55,18
05/04/20,186,21
05/05/20,57,27
05/06/20,106,36
05/07/20,78,69
05/08/20,196,74
05/09/20,105,88
05/10/20,52,55
05/11/20,17,13
05/12/20,11,2
05/13/20,57,5
05/14/20,9,9
05/15/20,8,8
05/16/20,33,34
05/17/20,62,53
05/18/20,68,88
05/19/20,105,104
05/20/20,76,91
05/21/20,151,186
05/22/20,339,205
05/23/20,343,70
05/24/20,154,37
05/25/20,107,19
05/26/20,55,64
05/27/20,53,28
05/28/20,61,65
05/29/20,68,9
05/30/20,69,77
05/31/20,13,16
